,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender,UserSatisfactionLevel
161,Spiky,Kids Automatic Watch, 999, 449,3.8,69,Watch,Kids,Good Choice
162,ZOOP from TITAN,Kids Spiderman Analogue Watch, 1295, 1165,4.5,102,Watch,Kids,Great Product
163,Spiky,Kids Analogue Watch, 999, 399,4.1,98,Watch,Kids,Great Product
164,V2A,Kids Multi Function Watch, 1799, 890,4.4,152,Watch,Kids,Great Product
165,Spiky,Multi Function Analogue Watch, 599, 497,4.5,44,Watch,Kids,Great Product
166,Spiky,Kids Pack Of 2 Digital Watch, 1998, 759,4.3,0,Watch,Kids,Great Product
167,ZOOP from TITAN,Kids Digital Watch,0,0,4.1,8,Watch,Kids,Great Product
168,Spiky,Kids Automatic Watch, 1299, 844,4.5,12,Watch,Kids,Great Product
169,ZOOP from TITAN,Kids Watch Watch,0,0,4.7,56,Watch,Kids,Excellent
170,Shocknshop,Unisex Kids Watch, 1999, 579,4.4,7,Watch,Kids,Great Product
171,SWADESI STUFF,Unisex Kids Multi Function Automatic Watch, 2245, 394,4.5,31,Watch,Kids,Great Product
172,Spiky,Kids Set Of 2 Analogue Watch, 3198, 799,4.3,0,Watch,Kids,Great Product
173,ZOOP from TITAN,Kids Analogue Watch,0,0,4.5,76,Watch,Kids,Great Product
174,Shocknshop,Kids Printed Analogue Watch, 1499, 464,4.2,264,Watch,Kids,Great Product
175,Spiky,Unisex Kids Function Watch, 599, 497,4.9,14,Watch,Kids,Excellent
176,ZOOP from TITAN,Unisex Kids Watch, 795, 715,4.9,11,Watch,Kids,Excellent
177,Shocknshop,Kids Multi Function Watch, 1299, 363,4.0,68,Watch,Kids,Good Choice
178,Spiky,Unisex Kids Multi Function Watch, 599, 497,4.4,420,Watch,Kids,Great Product
179,V2A,Kids Multi Function Watch, 1299, 649,4.1,20,Watch,Kids,Great Product
180,ZOOP from TITAN,Kids Analogue Watch,0,0,4.7,19,Watch,Kids,Excellent
181,ZOOP from TITAN,Kids Analogue Watch,0,0,4.6,199,Watch,Kids,Excellent
